MP_PT,AU_Substance_SCTID,Int_Substance_SCTID
folic acid + iron + iodine + thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + cyanocobalamin + ascorbic acid + colecalciferol + dl-alpha-tocopherol + biotin + calcium + magnesium + copper + manganese + zinc + selenium,2140011000036102 + 2239011000036109 + 1889011000036109 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 30781011000036102 + 1981011000036104 + 30703011000036100 + 30839011000036109 + 1893011000036105 + 2297011000036108 + 31033011000036104 + 31529011000036100 + 2718011000036102 + 2762011000036104,63718003 + 3829006 + 44588005 + 61768002 + 13235001 + 173196005 + 86431009 + 430469009 + 419382002 + 43706004 + 18414002 + 259666007 + 8919000 + 767178007 + 72717003 + 66925006 + 87869004 + 86739005 + 22038003
measles + mumps + rubella live vaccine,826251000168106 + 829851000168103 + 829861000168101,120997001 + 121087003 + 861000221105
taurolidine + citric acid,1221221000168104 + 1956011000036104,
vincristine,2710011000036104,387126006
ginkgo biloba extract,1179961000168102,412394005
metyrapone,31585011000036105,395794007
amitriptyline,1790011000036104,372726002
clobazam,31003011000036108,387572002
dressing hydrogel amorphous,48184011000036108,303529009
lapatinib,31465011000036100,425820005
methyldopa,2323011000036104,373542000
darbepoetin alfa,1999011000036101,385608005
amlodipine + valsartan,1792011000036100 + 32126011000036103,386864001 + 386876001
mycophenolate,2371011000036101,409330005
fluorouracil,2124011000036109,387172005
dexamethasone phosphate,2008011000036102,396016009
dienogest,31117011000036108,703097002
olaparib,805341000168100,432162002
testosterone,2632011000036101,43688007
citric acid + lauryl sulfoacetate sodium + sorbitol,1956011000036104 + 2838011000036109 + 2595011000036108,75399008 + 765357001 + 19839007
water for injections,2797011000036104,11713004
pirfenidone,763851000168109,439581000
sodium tetradecyl sulfate,35833011000036104,387320008
fulvestrant,31261011000036103,385519002
atracurium,30788011000036106,372835000
meningococcal A + meningococcal C + meningococcal W135 + meningococcal Y conjugate vaccine,824471000168106 + 824491000168107 + 824481000168109 + 824461000168100,121079004 + 120983009 + 120981006 + 120982004
aclidinium,652791000168100,703921008
promethazine,2517011000036102,372871004
lacosamide,83535011000036100,441647003
ertugliflozin + metformin,1228601000168104 + 2318011000036103,764274008 + 372567009
isosorbide mononitrate,2244011000036109,386854005
pemetrexed,2450011000036101,409159000
ibuprofen + pseudoephedrine,2211011000036101 + 2525011000036101,387207008 + 372900003
epirubicin,2076011000036107,417916005
ursodeoxycholic acid,2696011000036107,41143004
palbociclib,978101000168106,715958001
tiotropium,2664011000036101,409169006
macrogol-3350 + sodium chloride + bicarbonate + potassium chloride,2799011000036106 + 2591011000036106 + 2735011000036100 + 2500011000036101,712566007 + 387390002 + 68615006 + 8631001
clozapine,1976011000036102,387568001
dressing foam moderate exudate,48170011000036109,412148004
alprazolam,1777011000036107,386983007
nimodipine,31631011000036108,387502003
cyproterone,1991011000036100,126119006
isoleucine + leucine + valine + phenylalanine + methionine + lysine + threonine + tryptophan + cysteine + histidine + tyrosine + alanine + arginine + aspartic acid + glutamic acid + glycine + proline + serine,31429011000036107 + 31475011000036109 + 32125011000036105 + 31749011000036103 + 31572011000036106 + 2294011000036102 + 32053011000036101 + 32104011000036100 + 31067011000036100 + 31345011000036101 + 32112011000036107 + 30679011000036102 + 30763011000036104 + 30782011000036108 + 31295011000036104 + 2177011000036102 + 31824011000036100 + 31930011000036100,14971004 + 83797003 + 72840006 + 63004003 + 70288006 + 75799006 + 52736009 + 54821000 + 5932006 + 60260004 + 27378009 + 58753009 + 52625008 + 44970006 + 85214009 + 15331006 + 52541003 + 14125007
ravulizumab,1405351000168109,783439006
colloidal oatmeal,75899011000036100,373724007
insulin degludec,1168621000168103,710281005
methyl salicylate,2792011000036101,386988003
Lactobacillus acidophilus + Bifidobacterium animalis,31460011000036109 + 920898011000036106,16744007 + None
olmesartan + hydrochlorothiazide,2756011000036108 + 2194011000036100,412259001 + 387525002
amiodarone,1787011000036104,372821002
influenza trivalent vaccine 2011-2012,83058011000036105,260210008
rocuronium,31880011000036100,372494005
telmisartan + amlodipine,2619011000036104 + 1792011000036100,
adrenaline (epinephrine),1767011000036101,387362001
methylprednisolone,2327011000036108,116593003
levofloxacin,1174211000168106,387552007
fingolimod,933218761000036101,449000008
paper wasp venom,758491000168102,260194007
sevoflurane,31934011000036105,386842005
naloxone,2374011000036103,372890007
salicylic acid + ethanol + cetylpyridinium + cetalkonium chloride,2574011000036101 + 31199011000036100 + 30954011000036102 + 30945011000036101,
lanthanum,31463011000036101,414568004
levonorgestrel,2276011000036102,126109000
diphenhydramine + ammonium chloride + citric acid,31134011000036107 + 30734011000036106 + 1956011000036104,372682005 + 51366003 + 75399008
Dactylis glomerata pollen extract + Lolium perenne pollen extract + Phleum pratense pollen extract,768791000168101 + 768811000168102 + 768831000168107,256284001 + 256280005 + 256281009
lidocaine (lignocaine),2277011000036104,387480006
ciclosporin,1988011000036108,387467008
empagliflozin + linagliptin,682171000168108 + 933240711000036108,703894008 + 702798009
valganciclovir,2699011000036103,129476000
estradiol + norethisterone acetate,2409011000036103 + 2400011000036109,126172005 + 126104005
telmisartan,2619011000036104,387069000
ruxolitinib,143171000036104,702806008
treprostinil,32082011000036101,443570007
potassium chloride + glucose + sodium chloride,2500011000036101 + 2173011000036106 + 2591011000036106,
iohexol,31415011000036104,395751002
ciclesonide,1942011000036100,417420004
tolnaftate,2671011000036109,387204001
Lactobacillus acidophilus + Bifidobacterium lactis,31460011000036109 + 1181231000168107,16744007 + None
phenoxymethylpenicillin,2473011000036107,372725003
ropinirole,31882011000036101,372499000
butyl methoxydibenzoylmethane + 4-methylbenzylidene camphor + octocrylene + octyl methoxycinnamate,1887011000036102 + 1749011000036101 + 2405011000036100 + 2408011000036106,256171000 + 256180000 + 69296007 + 256173002
ketotifen,31457011000036101,372642003
European house dust mite extract,83057011000036109,711094007
artemether + lumefantrine,30770011000036103 + 31502011000036103,420578008 + 420307001
reishi mushroom extract + mountain hawthorn extract + tienchi ginseng extract + ginkgo biloba extract + mondo grass extract + formosan sweetgum extract,1379801000168101 + 1380171000168104 + 1381011000168101 + 1179961000168102 + 1380391000168101 + 1381021000168108,
calcitriol,1892011000036103,259333003
pyrimethamine,2534011000036103,373769001
cefaclor,1910011000036108,387270009
insulin glargine + lixisenatide,2790011000036100 + 172511000036109,411529005 + 708808004
prilocaine + felypressin,31811011000036105 + 31224011000036107,
hyaluronic acid,1143641000168105,38218009
glycopyrronium,167441000036104,769097000
metformin + glibenclamide,2318011000036103 + 2169011000036101,372567009 + 384978002
thiamine + riboflavin + nicotinamide + pyridoxine + ascorbic acid + colecalciferol + iron,2643011000036109 + 31873011000036103 + 31624011000036109 + 2532011000036107 + 30781011000036102 + 1981011000036104 + 2239011000036109,
sarilumab,1499351000168109,735231009
folinic acid,2745011000036104,396065004
trimipramine,32095011000036108,373550009
methyl salicylate + turpentine oil + camphor + peppermint oil + pine oil pumilio + menthol + eucalyptus oil,2792011000036101 + 1141601000168107 + 30895011000036103 + 2822011000036108 + 31764011000036109 + 2313011000036108 + 2775011000036103,386988003 + 256107000 + 111136003 + 52283007 + 32050003 + 387414008 + 12510000
tioguanine,2645011000036105,387407006
wheat dextrin,143221000036108,669361000168106
budesonide,1879011000036103,395726003
thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + cyanocobalamin + ascorbic acid + biotin + folic acid + inositol + choline,2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 30781011000036102 + 30839011000036109 + 2140011000036102 + 31405011000036101 + 30973011000036101,
sitagliptin + metformin,35844011000036101 + 2318011000036103,
pasireotide embonate,1551301000168107,734521009
isoprenaline,31430011000036103,372781009
amylmetacresol + dichlorobenzyl alcohol + menthol,30741011000036109 + 31113011000036104 + 2313011000036108,421472002 + 698274008 + 387414008
aflibercept,77671000036107,703840003
methyl nicotinate + glycol + methyl salicylate + ethyl salicylate,31581011000036108 + 31306011000036101 + 2792011000036101 + 31202011000036105,424803001 + 52086008 + 386988003 + 442254000
polyvalent Central American and South American snake antivenom,,
olmesartan + amlodipine + hydrochlorothiazide,2756011000036108 + 1792011000036100 + 2194011000036100,412259001 + 386864001 + 387525002
melatonin,922896011000036104,41199001
bicalutamide,1860011000036100,386908000
dressing hydroactive superficial wound moderate exudate,48179011000036103,
propofol,31827011000036106,387423006
isosorbide dinitrate,2243011000036107,387332007
peginterferon beta-1a,698551000168107,706897007
letrozole,2267011000036105,386911004
testosterone propionate + testosterone phenylpropionate + testosterone isocaproate,2636011000036102 + 2635011000036109 + 2634011000036105,
benzydamine + chlorhexidine,1845011000036101 + 1933011000036106,421319000 + 373568007
valproate,2769011000036109,372812003
exenatide,31216011000036107,416859008
soya oil,31977011000036101,226911007
yellow jacket venom,758501000168109,260192006
digoxin-specific antibody fragment F(Ab),31122011000036101,68332000
propylene glycol,31830011000036108,13668001
"amino acid formula with vitamins and minerals without methionine, threonine and valine and low in isoleucine",48197011000036101,52518006
flupentixol decanoate,2128011000036102,396062001
bandage compression,48148011000036107,
chlorhexidine + cetomacrogol emulsifying wax + liquid paraffin,1933011000036106 + 1312231000168106 + 2819011000036108,373568007 + 396448001 + 255667006
ifosfamide,2215011000036104,386904003
paracetamol + pseudoephedrine + dextromethorphan,2442011000036104 + 2525011000036101 + 31105011000036100,
delta-9-tetrahydrocannabinol,1257511000168104,96225007
vinflunine,712921000168100,698843001
fluticasone propionate + salmeterol,2135011000036105 + 2575011000036102,396064000 + 372515005
docusate,2044011000036100,418700002
topotecan,2673011000036105,372536007
ammonium + senega root,1795011000036108 + 2823011000036101,116770007 + 768370006
hydrocortisone + clotrimazole,2195011000036101 + 1975011000036109,396458002 + 387325003
methenamine hippurate,2189011000036103,55741006
dressing hydropolymer low to moderate exudate semi-permeable non-adherent adhesive absorbent foam,693031000168102,
selegiline,2579011000036100,372497003
trifluridine + tipiracil,983571000168105 + 983581000168108,
bleomycin,855991000168102,372843005
apomorphine,1810011000036101,387375001
methoxy polyethylene glycol-epoetin beta,1303601000168109,425913002
rosiglitazone,2568011000036100,395869000
methoxsalen,31574011000036102,41062004
fondaparinux,2143011000036105,708189008
calcium + colecalciferol,1893011000036105 + 1981011000036104,767178007 + 18414002
gliclazide,2170011000036103,395731001
nitrazepam,2396011000036103,387449001
imiquimod,2221011000036108,386941002
warfarin,2714011000036109,372756006
interferon beta-1a,2803011000036108,386902004
follitropin alfa,2141011000036109,395862009
thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + cyanocobalamin + biotin + folic acid + ascorbic acid + colecalciferol + dl-alpha-tocopherol + iron + zinc + magnesium,2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 30839011000036109 + 2140011000036102 + 30781011000036102 + 1981011000036104 + 30703011000036100 + 2239011000036109 + 2718011000036102 + 2297011000036108,
abemaciclib,1427351000168108,761851004
levonorgestrel + ethinylestradiol,2276011000036102 + 2096011000036104,126109000 + 126097006
ticagrelor,341000036109,698805004
influenza trivalent vaccine 2008,32946011000036104,260210008
iopromide,31418011000036105,395756007
undecenoic acid + chloroxylenol,32116011000036106 + 30970011000036109,
febuxostat,710401000168101,441743008
cyclopentolate,31061011000036108,372869004
hydrochlorothiazide + triamterene,2194011000036100 + 2687011000036109,387525002 + 387053007
cinnarizine + dimenhydrinate,1397371000168100 + 31127011000036104,395955001 + 387469006
amoxicillin + clavulanic acid,1799011000036105 + 1962011000036108,372687004 + 395939008
ticlopidine,2656011000036101,386950000
brahmi extract + ginkgo biloba extract,1337171000168107 + 1179961000168102,None + 412394005
pralidoxime iodide,31806011000036103,1186942004
dextromethorphan,31105011000036100,387114001
ascorbic acid + citrus bioflavonoids extract,30781011000036102 + 30998011000036100,43706004 + 72309009
abiraterone,87481000036102,699678007
roxithromycin,2570011000036106,96037004
ertapenem,31192011000036105,396346003
guanfacine,1037861000168107,372507007
gentamicin,2165011000036103,387321007
Haemophilus influenzae type b conjugate (PRP-T) vaccine,827351000168104,412374001
amino acid synthetic formula,48207011000036101,52518006
lactulose,2254011000036107,273945008
bovine colostrum,1166341000168101,1199501000168100
propranolol,2521011000036103,372772003
Olea europaea pollen extract,1131551000168109,260126003
levocetirizine,53047011000036109,421889003
sirolimus,2589011000036106,387014003
dabigatran,79322011000036109,698871007
sea snake antivenom,73623011000036106,699480008
Dactylis glomerata pollen extract + Poa pratensis pollen extract + Lolium perenne pollen extract + Anthoxanthum odoratum pollen extract + Phleum pratense pollen extract,768791000168101 + 768801000168100 + 768811000168102 + 768821000168109 + 768831000168107,256284001 + 256286004 + 256280005 + 256277009 + 256281009
milk powder lactose free formula predigested,48225011000036102,226778000
obeticholic acid,1243391000168106,720257002
dantrolene,1996011000036105,372819007
cefalexin,1922011000036102,387304003
cyproterone + ethinylestradiol,1991011000036100 + 2096011000036104,126119006 + 126097006
isotretinoin,2245011000036108,387208003
